Category,Type,Text,Context,Count,Example Files
"projects","headings","찾으시는 자료가 없으신가요?","h4",2,"index.html?p=8066.html; index.html"
"projects","headings","책임감","h5",2,"index.html?p=8103.html; index.html"
"projects","headings","최신 글","h2",6,"index.html; index.html; index.html"
"projects","headings","최신 댓글","h2",6,"index.html; index.html; index.html"
"projects","headings","출시 및 유지 보수","h4",2,"index.html?p=8101.html; index.html"
"projects","headings","클라우드 컴퓨팅","h5",2,"index.html?p=8101.html; index.html"
"projects","headings","품질 보증 및 테스트","h4",2,"index.html?p=8101.html; index.html"
"projects","links","새소식","a",14,"index.html?p=6620.html; index.html?p=6806.html; index.html?p=6796.html"
"projects","links","우리 연구소는 암 예방 및 치료법 개발을 위한 첨단 연구를 진행하고 있습니다.","a",1,"index.html"
"projects","links","웹진","a",14,"index.html; index.html?p=2327.html; index.html?p=2328.html"
"projects","links","유전적 요인에 따른 맞춤형 치료가 가능해질 것입니다.","a",1,"index.html"
"projects","labels","2019년 02월 15일","span",1,"index.html"
"projects","labels","2019년 03월 21일","span",1,"index.html"
"projects","labels","2019년 03월 23일","span",1,"index.html"
"projects","labels","2019년 04월 21일","span",1,"index.html"
"projects","labels","2019년 07월 15일","span",1,"index.html"
"projects","labels","2023년 09월 17일","span",1,"index.html"
"projects","labels","2024년 06월 28일","span",3,"index.html?p=6620.html; index.html; index.html"
"projects","labels","기","span",22,"index.html?p=6806.html; index.html?p=219.html; index.html?p=222.html"
"projects","labels","기타","span",2,"index.html?p=8067.html; index.html"
"projects","labels","디지털 헬스케어 플랫폼 구축","span",3,"index.html; index.html?p=8123.html; index.html"
"projects","labels","록","span",22,"index.html?p=6806.html; index.html?p=219.html; index.html?p=222.html"
"projects","labels","목","span",22,"index.html?p=6806.html; index.html?p=219.html; index.html?p=222.html"
"projects","labels","보","span",22,"index.html?p=6806.html; index.html?p=219.html; index.html?p=222.html"
"projects","paragraphs","감사합니다.","p",8,"index.html?p=6806.html; index.html?p=6796.html; index.html?p=6804.html"
"projects","paragraphs","고객의 성공을 최우선으로 생각합니다.","p",2,"index.html?p=8103.html; index.html"
"projects","paragraphs","신약 개발 과정에서 막대한 양의 생물학적 데이터를 처리하는 데 어려움을 겪고 있던 연구소는 데이터 분석의 정확성과 속도를 높이기 위해 우리 기술을 채택했습니다.","p",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","paragraphs","안녕하세요, 고객 여러분.","p",8,"index.html?p=6806.html; index.html?p=6796.html; index.html?p=6804.html"
"projects","paragraphs","윤리적이고 책임 있는 경영을 실천합니다.","p",2,"index.html?p=8103.html; index.html"
"projects","paragraphs","전국에 위치한 본사와 연구소 정보를 확인하세요.","p",2,"index.html?p=8059.html; index.html"
"projects","paragraphs","점검이 완료되는 대로 모든 서비스를 정상적으로 이용하실 수 있도록 최선을 다하겠습니다.","p",2,"index.html?p=6802.html; index.html"
"projects","paragraphs","클라우드 환경을 활용한 데이터 관리 및 처리로, 유연하고 확장 가능한 시스템을 제공합니다. 사용자와 데이터가 분산되어 있어, 더 안전하고 빠르게 서비스를 제공합니다.","p",2,"index.html?p=8101.html; index.html"
"projects","paragraphs","풍성한 한가위 되시길 바랍니다.","p",2,"index.html?p=6804.html; index.html"
"projects","paragraphs","한 대형 병원은 만성질환 환자의 증가와 정밀한 예측의 필요성을 느끼고 있었습니다.","p",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","paragraphs","한 보험사는 고객의 건강 증진을 지원하며 장기적으로 의료비를 절감하기 위해 개인 맞춤형 건강관리 앱을 기획했습니다.","p",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","other","건강 관리와 관련된 상담은 가능한가요?","text",2,"index.html?p=8065.html; index.html"
"projects","other","건강 정보는 어디서 얻을 수 있나요?","text",2,"index.html?p=8065.html; index.html"
"projects","other","관심제품","b",2,"index.html?p=8067.html; index.html"
"projects","other","기타","option",2,"index.html?p=8067.html; index.html"
"projects","other","더 나은 세상을 위한 과학적 도전이 여기서 시작됩니다.","text",2,"index.html?p=8103.html; index.html"
"projects","other","배송 일정:","strong",2,"index.html?p=6804.html; index.html"
"projects","other","보여줄 댓글이 없습니다.","div",6,"index.html; index.html; index.html"
"projects","other","성함","b",2,"index.html?p=8067.html; index.html"
"projects","other","연구소 방문은 가능한가요?","text",2,"index.html?p=8065.html; index.html"
"projects","other","연구소에서 개발한 건강관리 소프트웨어는 어떻게 이용하나요?","text",2,"index.html?p=8065.html; index.html"
"projects","other","의료 기기나 솔루션에 대해 추가 정보를 얻으려면?","text",2,"index.html?p=8065.html; index.html"
"projects","other","이전 일정:","strong",2,"index.html?p=6806.html; index.html"
"projects","other","자동화된 유닛 테스트, 통합 테스트, 사용자 테스트 등 다양한 방식으로 제품을 검증합니다.","text",2,"index.html?p=8101.html; index.html"
"projects","other","점검 일시:","strong",2,"index.html?p=6802.html; index.html"
"projects","other","제품 배포 후 유지 보수 및 버전 업그레이드를 진행하여, 사용자가 계속해서 최적의 환경을 경험할 수 있도록 지원합니다.","text",2,"index.html?p=8101.html; index.html"
"projects","other","파일첨부","b",2,"index.html?p=8067.html; index.html"
"projects","lists","2024년 6월 15일(토) 00:00 ~ 06:00","li",2,"index.html?p=6802.html; index.html"
"projects","lists","고속 충전 기능 추가","li",2,"index.html?p=6796.html; index.html"
"projects","lists","새로운 디자인과 다양한 색상","li",2,"index.html?p=6796.html; index.html"
"projects","lists","향상된 배터리 수명","li",2,"index.html?p=6796.html; index.html"
"projects","tables","개인 맞춤형 건강 플랫폼 및 디지털 치료제","td",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","tables","글로벌 헬스 사이언스 파크, 보스턴, 매사추세츠","td",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","tables","머신러닝 알고리즘, 
         실시간 데이터 처리 시스템","td",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"projects","meta","목록보기","attribute:aria-label",22,"index.html?p=6806.html; index.html?p=219.html; index.html?p=222.html"
"projects","titles","디지털 헬스케어 플랫폼 구축","title",1,"index.html"
"faq","headings","건강의학연구센터에 대한 주요 질문과 답변","h3",1,"index.html"
"faq","headings","건강의학연구센터에 대한 주요 질문과 답변을 확인하실 수 있습니다.","h2",2,"index.html?p=8065.html; index.html"
"faq","headings","자주하는질문","h5",2,"index.html?p=8101.html; index.html"
"faq","links","자주하는질문","a",1,"index.html"
"faq","paragraphs","연휴 기간 동안 고객센터 운영도 잠시 중단되며, 문의 사항은 이메일을 통해 남겨주시면 연휴 후 신속히 답변드리겠습니다.","p",2,"index.html?p=6804.html; index.html"
"location","headings","본사","h4",2,"index.html?p=8059.html; index.html"
"location","headings","본사 이전 안내","h1",2,"index.html?p=6806.html; index.html"
"location","links","본사 이전 안내","a",6,"index.html; index.html; index.html"
"location","labels","본사 이전 안내","span",6,"index.html?p=6620.html; index.html; index.html"
"location","titles","본사 이전 안내","title",3,"index.html; index.html; index.html"
"research","headings","개발 및 구현","h4",2,"index.html?p=8101.html; index.html"
"research","headings","건강과 과학의 조화를 통해 만들어온 혁신의 여정","h3",2,"index.html?p=8058.html; index.html"
"research","headings","건강의학연구센터의 최신 뉴스, 연구 발표, 보도자료를 확인하세요.","h2",3,"index.html?p=6620.html; index.html; index.html"
"research","headings","더 건강한 내일을 위한 혁신","h2",1,"index.html"
"research","headings","면역 강화 백신 개발","h1",2,"index.html?p=8103.html; index.html"
"research","headings","미래의 문제를 해결하는 데 중요한 역할을 하는 우리의 핵심 기술들을 소개합니다.","h3",2,"index.html?p=8101.html; index.html"
"research","headings","설계 및 프로토타입 개발","h4",2,"index.html?p=8101.html; index.html"
"research","headings","신약 개발을 위한 바이오 데이터 연구","h4",1,"index.html"
"research","headings","연구 자료 요청, 협업 제안, 기타 문의 사항을 아래 양식을 통해 보내주세요.","h2",2,"index.html?p=8067.html; index.html"
"research","headings","우리는 첨단 기술과 데이터 중심의 연구를 통해 건강 관리의 혁신을 이끌고 있습니다.","h3",2,"index.html?p=8103.html; index.html"
"research","headings","혁신","h5",2,"index.html?p=8103.html; index.html"
"research","headings","혁신적인 개발 프로세스와 기술","h1",2,"index.html?p=8101.html; index.html"
"research","labels","신약 개발을 위한 바이오 데이터 연구","span",3,"index.html; index.html?p=8123.html; index.html"
"research","labels","암 연구","span",1,"index.html"
"research","labels","유전자 연구","span",1,"index.html"
"research","labels","전염병 연구","span",1,"index.html"
"research","paragraphs","건강 문제 해결을 위한 연구를 통해, 사람들의 삶의 질을 향상시키는 혁신적인 치료 방법을 개발하고 있습니다.","p",1,"index.html"
"research","paragraphs","건강의학연구센터는 국내외 유수의 연구기관, 공공기관, 그리고 산업체와의 협력을 통해 미래지향적인 연구와 기술 개발을 선도하고 있습니다. 각 분야에서 인정받은 파트너와의 긴밀한 네트워크를 통해, 질병 예방과 치료를 위한 실질적인 솔루션을 만들어갑니다.","p",2,"index.html?p=8103.html; index.html"
"research","paragraphs","건강의학연구센터의 연구와 활동 현장을 사진으로 만나보세요.","p",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"research","paragraphs","국내외에서 인정받은 다양한 인증서는 건강의학연구센터가 추구하는 혁신적이고 신뢰할 수 있는 연구의 결과물입니다. 이 인증들은 우리의 전문성과 품질을 증명하며, 더 많은 이들에게 건강한 내일을 제공하기 위한 기반이 되고 있습니다.","p",2,"index.html?p=8103.html; index.html"
"research","paragraphs","새로운 기술을 바탕으로 변화를 주도합니다.","p",2,"index.html?p=8103.html; index.html"
"research","paragraphs","우리의 개발은 혁신을 주도하며, 가장 진보된 기술을 통해 사용자에게 최고의 가치를 제공합니다. 최신 기술을 활용한 끊임없는 연구와 개발로, 우리가 제공하는 솔루션은 항상 최신의 상태로 유지됩니다.","p",2,"index.html?p=8101.html; index.html"
"research","paragraphs","우리의 노력은 단순히 연구에 머무르지 않습니다. 여러분의 신뢰와 협력을 바탕으로, 건강한 내일을 함께 만들어가는 동반자가 되고자 합니다. 앞으로도 최고의 전문성과 열정으로, 여러분의 건강과 행복을 위해 최선을 다하겠습니다.","p",2,"index.html?p=8057.html; index.html"
"research","other","개발 중인 기술이나 제품이 있나요?","text",2,"index.html?p=8065.html; index.html"
"research","other","건강의학연구센터는 어떤 곳인가요?","text",2,"index.html?p=8065.html; index.html"
"research","other","고객의 니즈와 시장의 요구 사항을 철저히 분석하여, 개발할 제품이나 서비스의 방향성을 설정합니다.","text",2,"index.html?p=8101.html; index.html"
"research","other","실제 제품 개발을 통해 기능을 구현하고, 고도화된 기술을 적용하여 시스템을 완성합니다.","text",2,"index.html?p=8101.html; index.html"
"research","other","연구센터가 최대한 빠르게 도움을 드리겠습니다.","text",2,"index.html?p=8066.html; index.html"
"research","other","연구센터의 주요 목표는 무엇인가요?","text",2,"index.html?p=8065.html; index.html"
"research","other","우리가 만들어가는 혁신의 과정을 시각적으로 경험해 보실 수 있습니다.","text",6,"index.html?p=7123.html; index.html?p=7125.html; index.html?p=7129.html"
"research","other","주요 성과와 이정표를 통해,  건강의학연구센터가 어떤 가치를 창출해왔는지 확인하세요.","text",2,"index.html?p=8058.html; index.html"
"research","other","최신 의학 기술과 데이터를 기반으로, 건강관리 솔루션과 의학적 통찰을 제공하며, 글로벌 의료 및 연구 커뮤니티와 협력하여 사람들의 삶의 질을 향상시키는 데 기여하고 있습니다.","text",2,"index.html?p=8057.html; index.html"
"research","lists","과학적 데이터를 활용한 맞춤형 건강관리 플랫폼 개발.","li",2,"index.html?p=8058.html; index.html"
"research","lists","전 세계 건강 격차 해소를 위한 연구 착수.","li",2,"index.html?p=8058.html; index.html"
"research","lists","주요 국제 학술대회에서 연구 성과 발표.","li",2,"index.html?p=8058.html; index.html"
"research","lists","주요 실험실 및 데이터 분석 인프라 완 비.","li",2,"index.html?p=8058.html; index.html"
"research","lists","최첨단 센서 기술 적용","li",2,"index.html?p=6796.html; index.html"
"research","titles","신약 개발을 위한 바이오 데이터 연구","title",1,"index.html"
"news","headings","2024년 신제품 출시 안내","h1",2,"index.html?p=6796.html; index.html"
"news","headings","고객 만족도 향상을 위한 설문 조사 참여 요청 및 경품 안내","h1",2,"index.html?p=219.html; index.html"
"news","headings","상반기 직원 워크샵 일정 및 참여 안내","h1",2,"index.html?p=2328.html; index.html"
"news","headings","신규 서비스 런칭 기념 이벤트 및 참여 방법 안내","h1",2,"index.html?p=2677.html; index.html"
"news","headings","신제품 출시 및 사전 예약 이벤트 안내","h1",2,"index.html?p=6009.html; index.html"
"news","headings","정기 보수 공사 일정 및 서비스 이용 제한 안내","h1",2,"index.html?p=2327.html; index.html"
"news","headings","정기 서버 점검 및 서비스 일시 중단 공지","h1",2,"index.html?p=220.html; index.html"
"news","headings","정기 서버 점검 안내 (2024년 6월 15일)","h1",2,"index.html?p=6802.html; index.html"
"news","headings","추석 연휴 기간 배송 일정 안내","h1",2,"index.html?p=6804.html; index.html"
"news","links","2024년 신제품 출시 안내","a",6,"index.html; index.html; index.html"
"news","links","고객 만족도 향상을 위한 설문 조사 참여 요청 및 경품 안내","a",3,"index.html; index.html; index.html"
"news","links","상반기 직원 워크샵 일정 및 참여 안내","a",3,"index.html; index.html; index.html"
"news","links","신규 서비스 런칭 기념 이벤트 및 참여 방법 안내","a",2,"index.html; index.html"
"news","links","신제품 출시 및 사전 예약 이벤트 안내","a",6,"index.html; index.html; index.html"
"news","links","정기 보수 공사 일정 및 서비스 이용 제한 안내","a",3,"index.html; index.html; index.html"
"news","links","정기 서버 점검 및 서비스 일시 중단 공지","a",3,"index.html; index.html; index.html"
"news","links","정기 서버 점검 안내 (2024년 6월 15일)","a",6,"index.html; index.html; index.html"
"news","links","추석 연휴 기간 배송 일정 안내","a",6,"index.html; index.html; index.html"
"news","labels","2024년 신제품 출시 안내","span",6,"index.html?p=6620.html; index.html; index.html"
"news","labels","고객 만족도 향상을 위한 설문 조사 참여 요청 및 경품 안내","span",7,"index.html?p=6031.html; index.html; index.html"
"news","labels","상반기 직원 워크샵 일정 및 참여 안내","span",7,"index.html; index.html?p=7048.html; index.html"
"news","labels","신규 서비스 런칭 기념 이벤트 및 참여 방법 안내","span",5,"index.html?p=7048.html; index.html; index.html"
"news","labels","신제품 출시 및 사전 예약 이벤트 안내","span",7,"index.html?p=6031.html; index.html; index.html"
"news","labels","정기 보수 공사 일정 및 서비스 이용 제한 안내","span",7,"index.html; index.html?p=7048.html; index.html"
"news","labels","정기 서버 점검 및 서비스 일시 중단 공지","span",7,"index.html?p=6031.html; index.html; index.html"
"news","labels","정기 서버 점검 안내 (2024년 6월 15일)","span",6,"index.html?p=6620.html; index.html; index.html"
"news","labels","추석 연휴 기간 배송 일정 안내","span",6,"index.html?p=6620.html; index.html; index.html"
"news","paragraphs","다가오는 추석 연휴를 맞이하여 배송 일정에 대해 안내드립니다. 연휴 기간 동안에는 배송이 지연될 수 있으니, 아래 일정을 참고하여 주문해 주시기 바랍니다.","p",2,"index.html?p=6804.html; index.html"
"news","paragraphs","더 나은 서비스를 제공하기 위해 2024년 6월 15일(토) 00:00 ~ 06:00 동안 정기 서버 점검을 실시할 예정입니다. 점검 시간 동안에는 홈페이지 및 일부 서비스 이용이 일시 중단될 수 있으니 이 점 양해 부탁드립니다.","p",2,"index.html?p=6802.html; index.html"
"news","paragraphs","출시 기념으로 한정 기간 동안 특별 할인 이벤트를 진행하오니 많은 관심과 참여 부탁드립니다.","p",2,"index.html?p=6796.html; index.html"
"news","lists","추석 연휴 전 마지막 배송: 2024년 9월 25일(수)","li",2,"index.html?p=6804.html; index.html"
"news","lists","추석 연휴 후 배송 재개: 2024년 10월 2일(수)","li",2,"index.html?p=6804.html; index.html"
"news","titles","2024년 신제품 출시 안내","title",3,"index.html; index.html; index.html"
"news","titles","고객 만족도 향상을 위한 설문 조사 참여 요청 및 경품 안내","title",3,"index.html; index.html; index.html"
"news","titles","상반기 직원 워크샵 일정 및 참여 안내","title",3,"index.html; index.html; index.html"
"news","titles","신규 서비스 런칭 기념 이벤트 및 참여 방법 안내","title",1,"index.html"
"news","titles","신제품 출시 및 사전 예약 이벤트 안내","title",3,"index.html; index.html; index.html"
"news","titles","정기 보수 공사 일정 및 서비스 이용 제한 안내","title",3,"index.html; index.html; index.html"
"news","titles","정기 서버 점검 및 서비스 일시 중단 공지","title",3,"index.html; index.html; index.html"
"news","titles","정기 서버 점검 안내 (2024년 6월 15일)","title",3,"index.html; index.html; index.html"
"news","titles","추석 연휴 기간 배송 일정 안내","title",3,"index.html; index.html; index.html"
"gallery","headings","갤러리","h1",1,"index.html"
"gallery","links","갤러리","a",15,"index.html?p=6031.html; index.html; index.html?p=219.html"
"contact","headings","문의가 있으시면 언제든 저희에게 알려주세요.","h3",1,"index.html"
"contact","headings","문의하기","h5",2,"index.html?p=8101.html; index.html"
"contact","links","문의하기","a",1,"index.html"
"contact","paragraphs","필요한 자료가 없거나 추가 문의가 있으시면 언제든 저희에게 알려주세요.","p",2,"index.html?p=8066.html; index.html"
"contact","other","문의유형","b",2,"index.html?p=8067.html; index.html"
"contact","other","연락처","b",2,"index.html?p=8067.html; index.html"
"contact","other","이메일","b",2,"index.html?p=8067.html; index.html"
"contact","other","일반문의","option",2,"index.html?p=8067.html; index.html"
"contact","meta","문의 양식","attribute:aria-label",2,"index.html?p=8067.html; index.html"
"buttons","labels","검색","label",6,"index.html; index.html; index.html"
"buttons","meta","검색","attribute:aria-label",6,"index.html; index.html; index.html"
"buttons","buttons","검색","button",6,"index.html; index.html; index.html"
"forms","other","내용","b",2,"index.html?p=8067.html; index.html"
